Radius,Qext,Qsca,Qabs,Gsca
0.040000,0.056563,0.001232,0.055331,0.014088
0.041000,0.058178,0.001360,0.056818,0.014799
0.042000,0.059810,0.001498,0.058312,0.015527
0.043000,0.061459,0.001646,0.059814,0.016272
0.044000,0.063128,0.001804,0.061323,0.017034
0.045000,0.064815,0.001974,0.062841,0.017814
0.046000,0.066522,0.002156,0.064366,0.018611
0.047000,0.068249,0.002349,0.065900,0.019425
0.048000,0.069997,0.002556,0.067441,0.020257
0.049000,0.071768,0.002776,0.068991,0.021106
0.050000,0.073560,0.003010,0.070550,0.021972
0.051000,0.075375,0.003258,0.072117,0.022855
0.052000,0.077215,0.003521,0.073693,0.023756
0.053000,0.079079,0.003800,0.075278,0.024674
0.054000,0.080968,0.004096,0.076872,0.025609
0.055000,0.082883,0.004408,0.078475,0.026562
0.056000,0.084825,0.004737,0.080088,0.027532
0.057000,0.086794,0.005085,0.081709,0.028519
0.058000,0.088791,0.005451,0.083340,0.029524
0.059000,0.090817,0.005836,0.084981,0.030546
0.060000,0.092873,0.006242,0.086631,0.031585
0.061000,0.094960,0.006668,0.088291,0.032642
0.062000,0.097077,0.007116,0.089961,0.033716
0.063000,0.099227,0.007586,0.091641,0.034808
0.064000,0.101410,0.008078,0.093331,0.035917
0.065000,0.103626,0.008594,0.095031,0.037043
0.066000,0.105876,0.009135,0.096741,0.038187
0.067000,0.108161,0.009700,0.098462,0.039348
0.068000,0.110483,0.010290,0.100193,0.040527
0.069000,0.112841,0.010907,0.101934,0.041723
0.070000,0.115237,0.011551,0.103686,0.042937
0.071000,0.117671,0.012223,0.105448,0.044169
0.072000,0.120144,0.012924,0.107221,0.045418
0.073000,0.122657,0.013653,0.109004,0.046685
0.074000,0.125211,0.014413,0.110798,0.047970
0.075000,0.127807,0.015204,0.112603,0.049273
0.076000,0.130445,0.016026,0.114419,0.050593
0.077000,0.133126,0.016881,0.116245,0.051931
0.078000,0.135851,0.017769,0.118082,0.053288
0.079000,0.138621,0.018691,0.119930,0.054662
0.080000,0.141436,0.019647,0.121789,0.056055
0.081000,0.144298,0.020639,0.123658,0.057465
0.082000,0.147207,0.021668,0.125539,0.058894
0.083000,0.150163,0.022733,0.127430,0.060341
0.084000,0.153169,0.023837,0.129332,0.061807
0.085000,0.156224,0.024979,0.131245,0.063291
0.086000,0.159330,0.026160,0.133169,0.064793
0.087000,0.162486,0.027382,0.135104,0.066315
0.088000,0.165694,0.028645,0.137049,0.067855
0.089000,0.168955,0.029949,0.139006,0.069413
0.090000,0.172269,0.031296,0.140972,0.070991
0.091000,0.175637,0.032687,0.142950,0.072587
0.092000,0.179060,0.034121,0.144938,0.074203
0.093000,0.182538,0.035601,0.146937,0.075838
0.094000,0.186072,0.037126,0.148946,0.077493
0.095000,0.189663,0.038697,0.150966,0.079167
0.096000,0.193312,0.040315,0.152996,0.080860
0.097000,0.197018,0.041981,0.155037,0.082573
0.098000,0.200783,0.043696,0.157087,0.084306
0.099000,0.204608,0.045460,0.159148,0.086059
0.100000,0.208493,0.047274,0.161219,0.087833
0.101000,0.212438,0.049138,0.163300,0.089626
0.102000,0.216445,0.051054,0.165391,0.091440
0.103000,0.220513,0.053022,0.167491,0.093275
0.104000,0.224643,0.055042,0.169601,0.095130
0.105000,0.228836,0.057115,0.171721,0.097007
0.106000,0.233092,0.059242,0.173850,0.098904
0.107000,0.237411,0.061423,0.175988,0.100823
0.108000,0.241795,0.063659,0.178136,0.102763
0.109000,0.246243,0.065951,0.180292,0.104725
0.110000,0.250756,0.068299,0.182457,0.106709
0.111000,0.255334,0.070703,0.184631,0.108715
0.112000,0.259978,0.073164,0.186814,0.110743
0.113000,0.264688,0.075682,0.189005,0.112793
0.114000,0.269463,0.078259,0.191205,0.114867
0.115000,0.274306,0.080893,0.193412,0.116963
0.116000,0.279214,0.083586,0.195628,0.119082
0.117000,0.284190,0.086338,0.197851,0.121225
0.118000,0.289232,0.089149,0.200083,0.123391
0.119000,0.294341,0.092020,0.202321,0.125581
0.120000,0.299518,0.094951,0.204567,0.127795
0.121000,0.304762,0.097942,0.206820,0.130034
0.122000,0.310073,0.100992,0.209080,0.132297
0.123000,0.315451,0.104104,0.211347,0.134585
0.124000,0.320896,0.107276,0.213621,0.136898
0.125000,0.326409,0.110508,0.215901,0.139236
0.126000,0.331989,0.113801,0.218188,0.141600
0.127000,0.337635,0.117155,0.220480,0.143990
0.128000,0.343348,0.120570,0.222779,0.146407
0.129000,0.349128,0.124045,0.225083,0.148849
0.130000,0.354974,0.127581,0.227393,0.151319
0.131000,0.360886,0.131177,0.229709,0.153815
0.132000,0.366864,0.134834,0.232030,0.156339
0.133000,0.372907,0.138551,0.234356,0.158891
0.134000,0.379015,0.142328,0.236687,0.161471
0.135000,0.385188,0.146164,0.239023,0.164079
0.136000,0.391424,0.150060,0.241364,0.166715
0.137000,0.397725,0.154015,0.243710,0.169381
0.138000,0.404089,0.158029,0.246060,0.172076
0.139000,0.410515,0.162101,0.248414,0.174800
0.140000,0.417004,0.166231,0.250773,0.177554
0.141000,0.423554,0.170418,0.253136,0.180339
0.142000,0.430165,0.174662,0.255503,0.183154
0.143000,0.436836,0.178962,0.257874,0.186000
0.144000,0.443567,0.183319,0.260248,0.188877
0.145000,0.450357,0.187730,0.262627,0.191785
0.146000,0.457206,0.192196,0.265010,0.194726
0.147000,0.464111,0.196716,0.267396,0.197698
0.148000,0.471074,0.201288,0.269786,0.200703
0.149000,0.478093,0.205914,0.272179,0.203741
0.150000,0.485167,0.210590,0.274576,0.206812
0.151000,0.492295,0.215318,0.276977,0.209915
0.152000,0.499477,0.220096,0.279381,0.213054
0.153000,0.506713,0.224923,0.281789,0.216225
0.154000,0.514000,0.229799,0.284201,0.219431
0.155000,0.521339,0.234722,0.286617,0.222672
0.156000,0.528728,0.239692,0.289036,0.225947
0.157000,0.536167,0.244708,0.291459,0.229257
0.158000,0.543655,0.249769,0.293886,0.232603
0.159000,0.551191,0.254873,0.296318,0.235984
0.160000,0.558774,0.260021,0.298753,0.239401
0.161000,0.566404,0.265211,0.301193,0.242853
0.162000,0.574080,0.270442,0.303638,0.246342
0.163000,0.581800,0.275713,0.306087,0.249868
0.164000,0.589565,0.281024,0.308541,0.253429
0.165000,0.597373,0.286373,0.311000,0.257028
0.166000,0.605223,0.291759,0.313464,0.260662
0.167000,0.613117,0.297183,0.315934,0.264334
0.168000,0.621051,0.302641,0.318410,0.268043
0.169000,0.629026,0.308135,0.320891,0.271788
0.170000,0.637042,0.313663,0.323379,0.275571
0.171000,0.645097,0.319224,0.325874,0.279390
0.172000,0.653192,0.324817,0.328375,0.283247
0.173000,0.661325,0.330441,0.330883,0.287139
0.174000,0.669496,0.336097,0.333400,0.291069
0.175000,0.677705,0.341782,0.335923,0.295035
0.176000,0.685952,0.347497,0.338456,0.299038
0.177000,0.694236,0.353240,0.340996,0.303076
0.178000,0.702557,0.359011,0.343546,0.307150
0.179000,0.710915,0.364810,0.346105,0.311260
0.180000,0.719309,0.370635,0.348674,0.315405
0.181000,0.727740,0.376487,0.351253,0.319585
0.182000,0.736207,0.382365,0.353842,0.323799
0.183000,0.744711,0.388269,0.356442,0.328046
0.184000,0.753251,0.394197,0.359054,0.332327
0.185000,0.761828,0.400151,0.361677,0.336641
0.186000,0.770442,0.406129,0.364312,0.340986
0.187000,0.779092,0.412132,0.366960,0.345362
0.188000,0.787781,0.418159,0.369621,0.349768
0.189000,0.796507,0.424211,0.372296,0.354204
0.190000,0.805271,0.430287,0.374984,0.358669
0.191000,0.814073,0.436387,0.377686,0.363161
0.192000,0.822916,0.442512,0.380403,0.367679
0.193000,0.831797,0.448662,0.383135,0.372223
0.194000,0.840719,0.454837,0.385882,0.376790
0.195000,0.849682,0.461037,0.388645,0.381380
0.196000,0.858687,0.467263,0.391423,0.385992
0.197000,0.867735,0.473516,0.394219,0.390623
0.198000,0.876825,0.479795,0.397030,0.395273
0.199000,0.885960,0.486102,0.399859,0.399940
0.200000,0.895140,0.492436,0.402704,0.404622
0.201000,0.904367,0.498800,0.405567,0.409317
0.202000,0.913640,0.505193,0.408448,0.414024
0.203000,0.922961,0.511616,0.411346,0.418740
0.204000,0.932332,0.518071,0.414262,0.423464
0.205000,0.941753,0.524557,0.417196,0.428194
0.206000,0.951225,0.531077,0.420147,0.432928
0.207000,0.960749,0.537632,0.423117,0.437662
0.208000,0.970326,0.544221,0.426105,0.442396
0.209000,0.979958,0.550847,0.429110,0.447127
0.210000,0.989644,0.557510,0.432134,0.451852
0.211000,0.999387,0.564212,0.435174,0.456568
0.212000,1.009188,0.570955,0.438233,0.461275
0.213000,1.019047,0.577738,0.441308,0.465968
0.214000,1.028965,0.584564,0.444401,0.470646
0.215000,1.038943,0.591434,0.447509,0.475305
0.216000,1.048982,0.598348,0.450634,0.479944
0.217000,1.059083,0.605309,0.453774,0.484558
0.218000,1.069246,0.612317,0.456929,0.489146
0.219000,1.079472,0.619374,0.460099,0.493705
0.220000,1.089762,0.626481,0.463282,0.498233
0.221000,1.100117,0.633639,0.466478,0.502725
0.222000,1.110535,0.640849,0.469686,0.507180
0.223000,1.121019,0.648113,0.472905,0.511594
0.224000,1.131567,0.655431,0.476135,0.515966
0.225000,1.142179,0.662804,0.479374,0.520292
0.226000,1.152857,0.670235,0.482622,0.524569
0.227000,1.163598,0.677721,0.485877,0.528796
0.228000,1.174404,0.685266,0.489138,0.532968
0.229000,1.185274,0.692871,0.492403,0.537085
0.230000,1.196207,0.700534,0.495672,0.541143
0.231000,1.207201,0.708258,0.498943,0.545139
0.232000,1.218257,0.716042,0.502215,0.549072
0.233000,1.229372,0.723886,0.505487,0.552939
0.234000,1.240546,0.731790,0.508756,0.556739
0.235000,1.251778,0.739757,0.512021,0.560468
0.236000,1.263065,0.747784,0.515281,0.564126
0.237000,1.274404,0.755870,0.518534,0.567709
0.238000,1.285795,0.764017,0.521778,0.571217
0.239000,1.297236,0.772224,0.525011,0.574649
0.240000,1.308723,0.780490,0.528233,0.578001
0.241000,1.320254,0.788814,0.531440,0.581273
0.242000,1.331827,0.797195,0.534632,0.584465
0.243000,1.343438,0.805632,0.537806,0.587574
0.244000,1.355085,0.814124,0.540961,0.590601
0.245000,1.366763,0.822668,0.544094,0.593544
0.246000,1.378470,0.831265,0.547204,0.596402
0.247000,1.390202,0.839912,0.550290,0.599176
0.248000,1.401955,0.848606,0.553349,0.601865
0.249000,1.413725,0.857346,0.556380,0.604468
0.250000,1.425509,0.866129,0.559380,0.606987
0.251000,1.437302,0.874953,0.562349,0.609420
0.252000,1.449101,0.883817,0.565284,0.611769
0.253000,1.460900,0.892716,0.568184,0.614034
0.254000,1.472695,0.901647,0.571048,0.616216
0.255000,1.484481,0.910608,0.573873,0.618315
0.256000,1.496255,0.919597,0.576658,0.620333
0.257000,1.508012,0.928609,0.579403,0.622270
0.258000,1.519746,0.937640,0.582106,0.624127
0.259000,1.531455,0.946690,0.584765,0.625907
0.260000,1.543133,0.955754,0.587379,0.627609
0.261000,1.554775,0.964826,0.589948,0.629237
0.262000,1.566376,0.973905,0.592471,0.630792
0.263000,1.577934,0.982987,0.594946,0.632275
