Radius,Qext,Qsca,Qabs,Gsca
0.167000,2.058804,1.385791,0.673013,0.664910
0.168000,2.073191,1.397674,0.675516,0.666230
0.169000,2.087536,1.409424,0.678112,0.667637
0.170000,2.101866,1.421058,0.680807,0.669135
0.171000,2.116206,1.432595,0.683612,0.670726
0.172000,2.130583,1.444052,0.686531,0.672409
0.173000,2.145018,1.455446,0.689572,0.674186
0.174000,2.159537,1.466799,0.692738,0.676056
0.175000,2.174159,1.478125,0.696034,0.678018
0.176000,2.188903,1.489442,0.699461,0.680071
0.177000,2.203789,1.500768,0.703021,0.682211
0.178000,2.218834,1.512120,0.706714,0.684437
0.179000,2.234048,1.523510,0.710538,0.686744
0.180000,2.249448,1.534956,0.714492,0.689128
0.181000,2.265038,1.546467,0.718571,0.691585
0.182000,2.280831,1.558060,0.722771,0.694108
0.183000,2.296829,1.569743,0.727086,0.696693
0.184000,2.313033,1.581525,0.731508,0.699332
0.185000,2.329445,1.593416,0.736029,0.702019
0.186000,2.346059,1.605420,0.740639,0.704747
0.187000,2.362870,1.617542,0.745328,0.707507
0.188000,2.379869,1.629785,0.750084,0.710292
0.189000,2.397043,1.642148,0.754895,0.713094
0.190000,2.414377,1.654630,0.759748,0.715904
0.191000,2.431855,1.667227,0.764628,0.718714
0.192000,2.449454,1.679934,0.769520,0.721515
0.193000,2.467155,1.692744,0.774411,0.724300
0.194000,2.484927,1.705644,0.779284,0.727058
0.195000,2.502745,1.718621,0.784124,0.729783
0.196000,2.520582,1.731667,0.788915,0.732467
0.197000,2.538402,1.744760,0.793642,0.735101
0.198000,2.556173,1.757883,0.798290,0.737679
0.199000,2.573864,1.771019,0.802845,0.740195
0.200000,2.591438,1.784144,0.807294,0.742641
0.201000,2.608860,1.797238,0.811622,0.745013
0.202000,2.626097,1.810278,0.815819,0.747306
0.203000,2.643114,1.823238,0.819876,0.749515
0.204000,2.659878,1.836097,0.823781,0.751637
0.205000,2.676356,1.848829,0.827528,0.753669
0.206000,2.692522,1.861410,0.831111,0.755609
0.207000,2.708342,1.873817,0.834525,0.757456
0.208000,2.723796,1.886028,0.837768,0.759209
0.209000,2.738860,1.898020,0.840840,0.760867
0.210000,2.753512,1.909773,0.843739,0.762432
0.211000,2.767740,1.921268,0.846471,0.763905
0.212000,2.781528,1.932490,0.849038,0.765288
0.213000,2.794867,1.943422,0.851446,0.766582
0.214000,2.807754,1.954052,0.853702,0.767791
0.215000,2.820184,1.964368,0.855816,0.768917
0.216000,2.832159,1.974364,0.857795,0.769964
0.217000,2.843687,1.984033,0.859654,0.770936
0.218000,2.854772,1.993372,0.861400,0.771837
0.219000,2.865427,2.002379,0.863049,0.772671
0.220000,2.875669,2.011056,0.864613,0.773442
0.221000,2.885512,2.019406,0.866106,0.774156
0.222000,2.894978,2.027436,0.867542,0.774816
0.223000,2.904088,2.035153,0.868935,0.775427
0.224000,2.912866,2.042566,0.870300,0.775995
0.225000,2.921337,2.049687,0.871650,0.776523
0.226000,2.929531,2.056530,0.873001,0.777017
0.227000,2.937474,2.063110,0.874364,0.777481
0.228000,2.945196,2.069441,0.875755,0.777919
0.229000,2.952725,2.075541,0.877184,0.778337
0.230000,2.960093,2.081429,0.878665,0.778737
0.231000,2.967331,2.087122,0.880209,0.779126
0.232000,2.974466,2.092640,0.881826,0.779506
0.233000,2.981529,2.098003,0.883526,0.779881
0.234000,2.988550,2.103232,0.885318,0.780257
0.235000,2.995554,2.108344,0.887209,0.780635
0.236000,3.002569,2.113363,0.889207,0.781019
0.237000,3.009623,2.118307,0.891316,0.781413
0.238000,3.016737,2.123194,0.893543,0.781820
0.239000,3.023933,2.128044,0.895890,0.782243
0.240000,3.031234,2.132876,0.898358,0.782683
0.241000,3.038655,2.137706,0.900949,0.783144
0.242000,3.046215,2.142553,0.903663,0.783627
0.243000,3.053926,2.147427,0.906499,0.784134
0.244000,3.061801,2.152348,0.909453,0.784666
0.245000,3.069846,2.157324,0.912522,0.785226
0.246000,3.078069,2.162368,0.915701,0.785813
0.247000,3.086473,2.167492,0.918981,0.786427
0.248000,3.095056,2.172698,0.922357,0.787070
0.249000,3.103817,2.177997,0.925819,0.787741
0.250000,3.112749,2.183392,0.929357,0.788440
0.251000,3.121844,2.188883,0.932961,0.789165
0.252000,3.131088,2.194472,0.936616,0.789915
0.253000,3.140468,2.200156,0.940312,0.790690
0.254000,3.149964,2.205932,0.944033,0.791486
0.255000,3.159559,2.211792,0.947766,0.792303
0.256000,3.169225,2.217729,0.951496,0.793137
0.257000,3.178939,2.223732,0.955207,0.793987
0.258000,3.188672,2.229787,0.958885,0.794849
0.259000,3.198396,2.235883,0.962514,0.795720
0.260000,3.208080,2.242001,0.966079,0.796598
0.261000,3.217687,2.248123,0.969564,0.797479
0.262000,3.227188,2.254232,0.972957,0.798361
0.263000,3.236551,2.260307,0.976244,0.799240
0.264000,3.245736,2.266324,0.979412,0.800112
0.265000,3.254715,2.272265,0.982450,0.800976
0.266000,3.263455,2.278103,0.985352,0.801829
0.267000,3.271923,2.283820,0.988103,0.802666
0.268000,3.280091,2.289389,0.990702,0.803487
0.269000,3.287931,2.294790,0.993141,0.804289
0.270000,3.295418,2.300000,0.995418,0.805069
0.271000,3.302530,2.305000,0.997530,0.805827
0.272000,3.309250,2.309769,0.999480,0.806560
0.273000,3.315558,2.314288,1.001270,0.807269
0.274000,3.321442,2.318542,1.002900,0.807950
0.275000,3.326896,2.322517,1.004380,0.808606
0.276000,3.331912,2.326198,1.005715,0.809234
0.277000,3.336487,2.329574,1.006913,0.809835
0.278000,3.340623,2.332637,1.007986,0.810409
0.279000,3.344325,2.335381,1.008944,0.810957
0.280000,3.347601,2.337802,1.009799,0.811480
0.281000,3.350461,2.339896,1.010565,0.811977
0.282000,3.352921,2.341665,1.011255,0.812451
0.283000,3.354993,2.343110,1.011883,0.812903
0.284000,3.356702,2.344237,1.012465,0.813333
0.285000,3.358065,2.345051,1.013014,0.813743
0.286000,3.359106,2.345560,1.013547,0.814135
0.287000,3.359851,2.345774,1.014077,0.814511
0.288000,3.360324,2.345706,1.014618,0.814871
0.289000,3.360555,2.345367,1.015188,0.815217
0.290000,3.360569,2.344772,1.015796,0.815552
0.291000,3.360396,2.343938,1.016459,0.815876
0.292000,3.360066,2.342879,1.017187,0.816191
0.293000,3.359605,2.341614,1.017991,0.816498
0.294000,3.359044,2.340160,1.018885,0.816799
0.295000,3.358413,2.338537,1.019876,0.817096
0.296000,3.357736,2.336763,1.020973,0.817390
0.297000,3.357043,2.334858,1.022185,0.817681
0.298000,3.356359,2.332840,1.023518,0.817972
0.299000,3.355709,2.330731,1.024978,0.818263
