Radius,Qext,Qsca,Qabs,Gsca
0.040000,0.217148,0.051392,0.165755,0.091758
0.041000,0.227690,0.056546,0.171144,0.096495
0.042000,0.238644,0.062050,0.176594,0.101369
0.043000,0.250016,0.067912,0.182104,0.106384
0.044000,0.261813,0.074143,0.187671,0.111543
0.045000,0.274041,0.080748,0.193292,0.116848
0.046000,0.286702,0.087736,0.198966,0.122305
0.047000,0.299801,0.095112,0.204689,0.127916
0.048000,0.313338,0.102879,0.210459,0.133687
0.049000,0.327314,0.111041,0.216273,0.139620
0.050000,0.341727,0.119598,0.222128,0.145721
0.051000,0.356574,0.128552,0.228022,0.151995
0.052000,0.371851,0.137900,0.233951,0.158445
0.053000,0.387553,0.147639,0.239913,0.165079
0.054000,0.403672,0.157765,0.245906,0.171899
0.055000,0.420200,0.168272,0.251928,0.178913
0.056000,0.437128,0.179151,0.257977,0.186124
0.057000,0.454444,0.190393,0.264051,0.193539
0.058000,0.472138,0.201989,0.270150,0.201163
0.059000,0.490198,0.213926,0.276272,0.209001
0.060000,0.508609,0.226191,0.282418,0.217058
0.061000,0.527359,0.238770,0.288589,0.225339
0.062000,0.546435,0.251650,0.294785,0.233848
0.063000,0.565822,0.264814,0.301008,0.242590
0.064000,0.585508,0.278248,0.307260,0.251566
0.065000,0.605480,0.291936,0.313545,0.260782
0.066000,0.625727,0.305862,0.319865,0.270237
0.067000,0.646239,0.320012,0.326227,0.279933
0.068000,0.667005,0.334372,0.332633,0.289869
0.069000,0.688020,0.348930,0.339090,0.300044
0.070000,0.709277,0.363673,0.345604,0.310453
0.071000,0.730773,0.378593,0.352180,0.321093
0.072000,0.752507,0.393681,0.358826,0.331954
0.073000,0.774480,0.408932,0.365548,0.343027
0.074000,0.796697,0.424343,0.372354,0.354301
0.075000,0.819163,0.439913,0.379250,0.365761
0.076000,0.841886,0.455644,0.386241,0.377387
0.077000,0.864878,0.471542,0.393336,0.389161
0.078000,0.888151,0.487614,0.400538,0.401058
0.079000,0.911721,0.503870,0.407851,0.413051
0.080000,0.935603,0.520323,0.415280,0.425109
0.081000,0.959814,0.536989,0.422826,0.437199
0.082000,0.984372,0.553884,0.430488,0.449285
0.083000,1.009295,0.571028,0.438266,0.461326
0.084000,1.034597,0.588442,0.446156,0.473282
0.085000,1.060295,0.606145,0.454150,0.485108
0.086000,1.086400,0.624158,0.462242,0.496760
0.087000,1.112922,0.642502,0.470420,0.508191
0.088000,1.139866,0.661197,0.478670,0.519356
0.089000,1.167232,0.680257,0.486975,0.530208
0.090000,1.195016,0.699699,0.495317,0.540705
0.091000,1.223203,0.719530,0.503674,0.550804
0.092000,1.251778,0.739757,0.512021,0.560468
0.093000,1.280713,0.760380,0.520333,0.569663
0.094000,1.309974,0.781392,0.528582,0.578360
0.095000,1.339522,0.802783,0.536739,0.586536
0.096000,1.369305,0.824533,0.544772,0.594172
0.097000,1.399271,0.846618,0.552653,0.601258
0.098000,1.429354,0.869002,0.560352,0.607790
0.099000,1.459489,0.891650,0.567840,0.613768
0.100000,1.489602,0.914513,0.575089,0.619202
0.101000,1.519620,0.937543,0.582077,0.624107
0.102000,1.549465,0.960683,0.588781,0.628503
0.103000,1.579062,0.983876,0.595186,0.632416
0.104000,1.608336,1.007059,0.601277,0.635875
0.105000,1.637220,1.030172,0.607047,0.638916
0.106000,1.665644,1.053151,0.612493,0.641573
0.107000,1.693555,1.075939,0.617616,0.643887
0.108000,1.720901,1.098478,0.622424,0.645898
0.109000,1.747644,1.120715,0.626929,0.647647
0.110000,1.773753,1.142605,0.631148,0.649176
0.111000,1.799208,1.164106,0.635103,0.650525
0.112000,1.824003,1.185185,0.638818,0.651733
0.113000,1.848138,1.205815,0.642323,0.652839
0.114000,1.871630,1.225980,0.645650,0.653880
0.115000,1.894500,1.245669,0.648831,0.654889
0.116000,1.916783,1.264880,0.651903,0.655898
0.117000,1.938519,1.283618,0.654900,0.656936
0.118000,1.959756,1.301895,0.657861,0.658029
0.119000,1.980549,1.319730,0.660819,0.659202
0.120000,2.000957,1.337147,0.663810,0.660475
0.121000,2.021047,1.354178,0.666868,0.661866
0.122000,2.040881,1.370856,0.670025,0.663391
0.123000,2.060528,1.387220,0.673308,0.665063
0.124000,2.080055,1.403309,0.676745,0.666892
0.125000,2.099529,1.419168,0.680361,0.668885
0.126000,2.119015,1.434842,0.684173,0.671048
