Radius,Qext,Qsca,Qabs,Gsca
0.040000,0.070577,0.002627,0.067950,0.020534
0.041000,0.072728,0.002900,0.069828,0.021569
0.042000,0.074911,0.003194,0.071718,0.022629
0.043000,0.077129,0.003509,0.073620,0.023714
0.044000,0.079383,0.003847,0.075536,0.024824
0.045000,0.081674,0.004209,0.077465,0.025960
0.046000,0.084003,0.004596,0.079407,0.027121
0.047000,0.086371,0.005009,0.081362,0.028307
0.048000,0.088781,0.005449,0.083332,0.029519
0.049000,0.091232,0.005917,0.085315,0.030756
0.050000,0.093728,0.006415,0.087313,0.032018
0.051000,0.096268,0.006943,0.089325,0.033305
0.052000,0.098855,0.007503,0.091351,0.034619
0.053000,0.101489,0.008097,0.093392,0.035957
0.054000,0.104172,0.008724,0.095448,0.037321
0.055000,0.106906,0.009387,0.097519,0.038710
0.056000,0.109691,0.010087,0.099604,0.040125
0.057000,0.112530,0.010825,0.101705,0.041565
0.058000,0.115423,0.011602,0.103821,0.043032
0.059000,0.118373,0.012420,0.105953,0.044524
0.060000,0.121380,0.013280,0.108100,0.046042
0.061000,0.124445,0.014183,0.110262,0.047585
0.062000,0.127572,0.015131,0.112440,0.049155
0.063000,0.130760,0.016126,0.114634,0.050750
0.064000,0.134011,0.017167,0.116843,0.052372
0.065000,0.137326,0.018257,0.119069,0.054020
0.066000,0.140708,0.019398,0.121310,0.055695
0.067000,0.144157,0.020590,0.123567,0.057396
0.068000,0.147675,0.021835,0.125840,0.059123
0.069000,0.151263,0.023134,0.128128,0.060878
0.070000,0.154922,0.024490,0.130433,0.062659
0.071000,0.158655,0.025902,0.132753,0.064467
0.072000,0.162461,0.027372,0.135089,0.066303
0.073000,0.166344,0.028903,0.137441,0.068165
0.074000,0.170303,0.030495,0.139808,0.070056
0.075000,0.174340,0.032149,0.142191,0.071974
0.076000,0.178457,0.033867,0.144590,0.073919
0.077000,0.182655,0.035651,0.147004,0.075893
0.078000,0.186935,0.037501,0.149434,0.077895
0.079000,0.191297,0.039419,0.151878,0.079926
0.080000,0.195744,0.041406,0.154338,0.081985
0.081000,0.200277,0.043464,0.156813,0.084074
0.082000,0.204896,0.045594,0.159302,0.086191
0.083000,0.209602,0.047796,0.161806,0.088338
0.084000,0.214398,0.050072,0.164325,0.090514
0.085000,0.219282,0.052424,0.166858,0.092721
0.086000,0.224258,0.054852,0.169405,0.094958
0.087000,0.229325,0.057358,0.171967,0.097225
0.088000,0.234484,0.059942,0.174541,0.099523
0.089000,0.239736,0.062606,0.177130,0.101853
0.090000,0.245082,0.065351,0.179731,0.104214
0.091000,0.250523,0.068177,0.182346,0.106606
0.092000,0.256058,0.071085,0.184973,0.109031
0.093000,0.261690,0.074077,0.187613,0.111489
0.094000,0.267417,0.077152,0.190265,0.113979
0.095000,0.273242,0.080312,0.192929,0.116503
0.096000,0.279163,0.083558,0.195605,0.119060
0.097000,0.285182,0.086890,0.198293,0.121652
0.098000,0.291299,0.090308,0.200991,0.124278
