0.483	3.356681	2.305796	1.050885	0.821847
0.484	3.357386	2.304597	1.052789	0.822071
0.485	3.358166	2.303439	1.054727	0.822296
0.486	3.359019	2.302324	1.056695	0.822524
0.487	3.359942	2.301252	1.058691	0.822754
0.488	3.360933	2.300224	1.060709	0.822985
0.489	3.361991	2.299243	1.062748	0.823219
0.49	3.363107	2.298305	1.064802	0.823453
0.491	3.364282	2.297414	1.066868	0.82369
0.492	3.36551	2.296568	1.068942	0.823926
0.493	3.366786	2.295766	1.07102	0.824164
0.494	3.368105	2.295008	1.073097	0.824402
0.495	3.369461	2.294291	1.07517	0.82464
0.496	3.370847	2.293614	1.077233	0.824877
0.497	3.372258	2.292975	1.079282	0.825114
0.498	3.373686	2.292372	1.081314	0.82535
0.499	3.375125	2.291803	1.083323	0.825584
0.5	3.376567	2.291262	1.085305	0.825816
0.501	3.378006	2.29075	1.087256	0.826046
0.502	3.379432	2.290259	1.089173	0.826273
0.503	3.380839	2.289789	1.09105	0.826497
0.504	3.382219	2.289334	1.092885	0.826718
0.505	3.383562	2.28889	1.094671	0.826934
0.506	3.384861	2.288454	1.096407	0.827146
0.507	3.386108	2.288019	1.098089	0.827353
0.508	3.387297	2.287582	1.099716	0.827554
0.509	3.388418	2.287138	1.10128	0.82775
0.51	3.389463	2.28668	1.102783	0.82794
0.511	3.390426	2.286207	1.104219	0.828122
0.512	3.391298	2.285709	1.105589	0.828299
0.513	3.392074	2.285185	1.106889	0.828467
0.514	3.392747	2.284629	1.108117	0.828628
0.515	3.393308	2.284035	1.109274	0.828781
0.516	3.393754	2.283398	1.110357	0.828926
0.517	3.394079	2.282713	1.111366	0.829063
0.518	3.394277	2.281976	1.112302	0.829191
0.519	3.394345	2.281183	1.113162	0.82931
0.52	3.394276	2.280327	1.113949	0.82942
0.521	3.394069	2.279406	1.114663	0.829521
0.522	3.393719	2.278414	1.115305	0.829613
0.523	3.393224	2.277348	1.115876	0.829696
0.524	3.392584	2.276206	1.116378	0.829769
0.525	3.391794	2.274982	1.116812	0.829834
0.526	3.390855	2.273674	1.117181	0.82989
0.527	3.389766	2.272279	1.117487	0.829936
