Radius,Qext,Qsca,Qabs,Gsca
0.167000,0.722987,0.373188,0.349799,0.317227
0.168000,0.732115,0.379524,0.352590,0.321760
0.169000,0.741285,0.385891,0.355395,0.326334
0.170000,0.750498,0.392287,0.358212,0.330946
0.171000,0.759754,0.398712,0.361043,0.335597
0.172000,0.769053,0.405165,0.363887,0.340284
0.173000,0.778395,0.411648,0.366747,0.345009
0.174000,0.787781,0.418159,0.369621,0.349768
0.175000,0.797210,0.424699,0.372511,0.354563
0.176000,0.806685,0.431267,0.375418,0.359390
0.177000,0.816204,0.437864,0.378341,0.364249
0.178000,0.825769,0.444489,0.381281,0.369138
0.179000,0.835381,0.451143,0.384238,0.374057
0.180000,0.845041,0.457827,0.387214,0.379003
0.181000,0.854749,0.464541,0.390208,0.383975
0.182000,0.864505,0.471285,0.393221,0.388971
0.183000,0.874313,0.478060,0.396253,0.393989
0.184000,0.884172,0.484868,0.399305,0.399027
0.185000,0.894083,0.491707,0.402376,0.404083
0.186000,0.904047,0.498580,0.405468,0.409155
0.187000,0.914068,0.505488,0.408580,0.414240
0.188000,0.924144,0.512430,0.411714,0.419337
0.189000,0.934277,0.519410,0.414867,0.424442
0.190000,0.944469,0.526427,0.418042,0.429554
0.191000,0.954721,0.533484,0.421237,0.434669
0.192000,0.965035,0.540581,0.424454,0.439785
0.193000,0.975411,0.547719,0.427692,0.444898
0.194000,0.985852,0.554902,0.430950,0.450006
0.195000,0.996357,0.562128,0.434229,0.455106
0.196000,1.006929,0.569401,0.437528,0.460194
0.197000,1.017570,0.576722,0.440848,0.465268
0.198000,1.028279,0.584092,0.444187,0.470324
0.199000,1.039058,0.591513,0.447545,0.475359
0.200000,1.049909,0.598987,0.450922,0.480369
0.201000,1.060831,0.606514,0.454317,0.485351
0.202000,1.071826,0.614097,0.457729,0.490302
0.203000,1.082895,0.621737,0.461158,0.495218
0.204000,1.094039,0.629436,0.464603,0.500096
0.205000,1.105257,0.637196,0.468062,0.504931
0.206000,1.116552,0.645017,0.471535,0.509722
0.207000,1.127922,0.652901,0.475021,0.514464
0.208000,1.139367,0.660850,0.478517,0.519153
0.209000,1.150888,0.668864,0.482024,0.523786
0.210000,1.162484,0.676944,0.485540,0.528361
0.211000,1.174156,0.685093,0.489062,0.532873
0.212000,1.185901,0.693310,0.492591,0.537320
0.213000,1.197719,0.701596,0.496123,0.541698
0.214000,1.209611,0.709953,0.499658,0.546004
0.215000,1.221573,0.718380,0.503193,0.550235
0.216000,1.233605,0.726877,0.506727,0.554389
0.217000,1.245704,0.735446,0.510258,0.558462
0.218000,1.257869,0.744085,0.513783,0.562453
0.219000,1.270097,0.752796,0.517301,0.566359
0.220000,1.282386,0.761577,0.520809,0.570177
0.221000,1.294733,0.770427,0.524306,0.573906
0.222000,1.307136,0.779347,0.527789,0.577543
0.223000,1.319590,0.788334,0.531256,0.581088
0.224000,1.332094,0.797389,0.534705,0.584538
0.225000,1.344641,0.806508,0.538133,0.587891
0.226000,1.357230,0.815691,0.541538,0.591148
0.227000,1.369856,0.824937,0.544919,0.594308
0.228000,1.382513,0.834241,0.548272,0.597368
0.229000,1.395198,0.843603,0.551594,0.600330
0.230000,1.407906,0.853021,0.554885,0.603192
0.231000,1.420632,0.862490,0.558142,0.605955
0.232000,1.433370,0.872007,0.561363,0.608619
0.233000,1.446117,0.881572,0.564545,0.611183
0.234000,1.458865,0.891179,0.567687,0.613650
0.235000,1.471610,0.900824,0.570786,0.616019
0.236000,1.484346,0.910505,0.573841,0.618291
0.237000,1.497067,0.920218,0.576849,0.620469
0.238000,1.509767,0.929957,0.579810,0.622552
0.239000,1.522441,0.939720,0.582721,0.624543
0.240000,1.535083,0.949502,0.585581,0.626443
0.241000,1.547686,0.959298,0.588389,0.628254
0.242000,1.560248,0.969104,0.591143,0.629979
0.243000,1.572759,0.978916,0.593842,0.631619
0.244000,1.585214,0.988728,0.596486,0.633176
0.245000,1.597611,0.998537,0.599074,0.634654
0.246000,1.609941,1.008337,0.601604,0.636054
0.247000,1.622200,1.018123,0.604076,0.637379
0.248000,1.634383,1.027892,0.606491,0.638633
0.249000,1.646485,1.037637,0.608848,0.639817
0.250000,1.658503,1.047357,0.611146,0.640935
0.251000,1.670430,1.057043,0.613387,0.641990
0.252000,1.682264,1.066694,0.615570,0.642984
0.253000,1.694000,1.076304,0.617696,0.643922
0.254000,1.705635,1.085870,0.619765,0.644805
0.255000,1.717165,1.095385,0.621779,0.645637
0.256000,1.728588,1.104849,0.623738,0.646422
0.257000,1.739900,1.114256,0.625644,0.647161
0.258000,1.751101,1.123604,0.627497,0.647859
0.259000,1.762188,1.132888,0.629301,0.648519
0.260000,1.773160,1.142106,0.631054,0.649143
0.261000,1.784015,1.151254,0.632761,0.649735
0.262000,1.794750,1.160330,0.634421,0.650297
0.263000,1.805368,1.169331,0.636038,0.650833
0.264000,1.815868,1.178255,0.637613,0.651346
0.265000,1.826248,1.187100,0.639148,0.651839
0.266000,1.836513,1.195866,0.640647,0.652313
0.267000,1.846659,1.204548,0.642111,0.652773
0.268000,1.856691,1.213148,0.643543,0.653221
0.269000,1.866608,1.221663,0.644944,0.653659
0.270000,1.876413,1.230094,0.646319,0.654090
0.271000,1.886106,1.238438,0.647668,0.654517
0.272000,1.895694,1.246698,0.648996,0.654942
0.273000,1.905175,1.254871,0.650304,0.655367
0.274000,1.914554,1.262958,0.651596,0.655795
0.275000,1.923835,1.270961,0.652874,0.656228
0.276000,1.933022,1.278881,0.654140,0.656667
0.277000,1.942116,1.286717,0.655399,0.657115
0.278000,1.951122,1.294470,0.656651,0.657574
0.279000,1.960045,1.302144,0.657901,0.658045
0.280000,1.968888,1.309738,0.659151,0.658531
0.281000,1.977657,1.317255,0.660403,0.659032
0.282000,1.986356,1.324696,0.661660,0.659551
