Radius,Qext,Qsca,Qabs,Gsca
0.167000,2.637522,1.818969,0.818553,0.748795
0.168000,2.657939,1.834605,0.823334,0.751394
0.169000,2.677941,1.850057,0.827883,0.753861
0.170000,2.697475,1.865285,0.832190,0.756193
0.171000,2.716492,1.880245,0.836247,0.758386
0.172000,2.734950,1.894899,0.840051,0.760442
0.173000,2.752811,1.909208,0.843603,0.762359
0.174000,2.770046,1.923140,0.846906,0.764140
0.175000,2.786631,1.936664,0.849968,0.765788
0.176000,2.802554,1.949754,0.852800,0.767308
0.177000,2.817806,1.962390,0.855416,0.768704
0.178000,2.832387,1.974555,0.857833,0.769984
0.179000,2.846308,1.986239,0.860069,0.771152
0.180000,2.859583,1.997436,0.862147,0.772217
0.181000,2.872235,2.008145,0.864090,0.773187
0.182000,2.884291,2.018370,0.865921,0.774069
0.183000,2.895787,2.028123,0.867665,0.774871
0.184000,2.906764,2.037416,0.869349,0.775602
0.185000,2.917261,2.046266,0.870996,0.776271
0.186000,2.927329,2.054696,0.872633,0.776886
0.187000,2.937018,2.062734,0.874284,0.777454
0.188000,2.946377,2.070404,0.875973,0.777985
0.189000,2.955461,2.077737,0.877724,0.778486
0.190000,2.964324,2.084768,0.879556,0.778965
0.191000,2.973017,2.091528,0.881489,0.779429
0.192000,2.981598,2.098055,0.883543,0.779885
0.193000,2.990114,2.104383,0.885732,0.780341
0.194000,2.998616,2.110547,0.888069,0.780802
0.195000,3.007152,2.116585,0.890566,0.781274
0.196000,3.015765,2.122532,0.893233,0.781764
0.197000,3.024497,2.128420,0.896076,0.782276
0.198000,3.033382,2.134283,0.899100,0.782815
0.199000,3.042454,2.140150,0.902304,0.783385
0.200000,3.051740,2.146051,0.905689,0.783989
0.201000,3.061261,2.152012,0.909249,0.784629
0.202000,3.071032,2.158054,0.912978,0.785310
0.203000,3.081067,2.164200,0.916868,0.786030
0.204000,3.091367,2.170463,0.920904,0.786792
0.205000,3.101931,2.176858,0.925073,0.787596
0.206000,3.112749,2.183392,0.929357,0.788440
0.207000,3.123806,2.190069,0.933738,0.789323
0.208000,3.135080,2.196889,0.938191,0.790243
0.209000,3.146541,2.203847,0.942694,0.791198
0.210000,3.158156,2.210934,0.947222,0.792183
0.211000,3.169884,2.218135,0.951750,0.793194
0.212000,3.181680,2.225432,0.956248,0.794228
0.213000,3.193490,2.232801,0.960689,0.795279
0.214000,3.205264,2.240217,0.965048,0.796342
0.215000,3.216944,2.247648,0.969296,0.797411
0.216000,3.228471,2.255060,0.973410,0.798481
0.217000,3.239782,2.262417,0.977365,0.799546
0.218000,3.250820,2.269680,0.981140,0.800600
0.219000,3.261526,2.276809,0.984716,0.801639
0.220000,3.271843,2.283766,0.988077,0.802658
0.221000,3.281717,2.290504,0.991212,0.803652
0.222000,3.291101,2.296989,0.994111,0.804617
0.223000,3.299952,2.303182,0.996770,0.805550
0.224000,3.308233,2.309044,0.999189,0.806448
0.225000,3.315913,2.314544,1.001368,0.807309
0.226000,3.322969,2.319652,1.003317,0.808131
0.227000,3.329386,2.324341,1.005045,0.808914
0.228000,3.335156,2.328590,1.006565,0.809657
0.229000,3.340280,2.332382,1.007897,0.810360
0.230000,3.344761,2.335705,1.009056,0.811025
0.231000,3.348618,2.338550,1.010068,0.811652
0.232000,3.351870,2.340915,1.010955,0.812242
0.233000,3.354544,2.342803,1.011742,0.812799
0.234000,3.356672,2.344218,1.012454,0.813325
0.235000,3.358292,2.345173,1.013119,0.813821
0.236000,3.359445,2.345682,1.013763,0.814291
0.237000,3.360176,2.345764,1.014412,0.814736
0.238000,3.360533,2.345441,1.015092,0.815161
0.239000,3.360565,2.344737,1.015828,0.815568
0.240000,3.360324,2.343681,1.016643,0.815959
0.241000,3.359861,2.342302,1.017559,0.816338
0.242000,3.359228,2.340631,1.018597,0.816706
0.243000,3.358476,2.338701,1.019774,0.817067
0.244000,3.357656,2.336548,1.021108,0.817424
0.245000,3.356815,2.334203,1.022612,0.817777
0.246000,3.355999,2.331704,1.024295,0.818129
0.247000,3.355254,2.329085,1.026169,0.818484
0.248000,3.354618,2.326379,1.028239,0.818840
0.249000,3.354129,2.323620,1.030509,0.819202
0.250000,3.353819,2.320840,1.032979,0.819569
0.251000,3.353716,2.318071,1.035645,0.819943
0.252000,3.353846,2.315340,1.038506,0.820325
0.253000,3.354224,2.312674,1.041551,0.820715
0.254000,3.354867,2.310097,1.044770,0.821115
0.255000,3.355781,2.307630,1.048151,0.821523
0.256000,3.356966,2.305290,1.051676,0.821940
0.257000,3.358419,2.303093,1.055327,0.822366
0.258000,3.360130,2.301048,1.059082,0.822799
0.259000,3.362080,2.299163,1.062917,0.823238
0.260000,3.364248,2.297439,1.066808,0.823683
0.261000,3.366604,2.295877,1.070727,0.824130
0.262000,3.369115,2.294468,1.074647,0.824580
0.263000,3.371742,2.293204,1.078537,0.825028
0.264000,3.374439,2.292070,1.082369,0.825473
0.265000,3.377162,2.291048,1.086114,0.825911
0.266000,3.379858,2.290116,1.089742,0.826341
0.267000,3.382475,2.289250,1.093225,0.826759
0.268000,3.384960,2.288420,1.096540,0.827162
0.269000,3.387258,2.287597,1.099661,0.827548
0.270000,3.389316,2.286748,1.102568,0.827912
0.271000,3.391083,2.285840,1.105244,0.828254
0.272000,3.392511,2.284839,1.107672,0.828570
0.273000,3.393555,2.283709,1.109845,0.828858
0.274000,3.394176,2.282419,1.111757,0.829116
0.275000,3.394338,2.280936,1.113403,0.829343
0.276000,3.394014,2.279227,1.114787,0.829539
0.277000,3.393183,2.277268,1.115915,0.829701
0.278000,3.391827,2.275031,1.116796,0.829832
0.279000,3.389940,2.272495,1.117445,0.829930
0.280000,3.387518,2.269641,1.117877,0.829997
0.281000,3.384567,2.266453,1.118114,0.830034
0.282000,3.381098,2.262922,1.118176,0.830043
0.283000,3.377129,2.259039,1.118090,0.830026
0.284000,3.372682,2.254801,1.117881,0.829985
0.285000,3.367785,2.250208,1.117577,0.829924
0.286000,3.362469,2.245265,1.117205,0.829844
0.287000,3.356772,2.239977,1.116795,0.829750
0.288000,3.350732,2.234358,1.116374,0.829644
0.289000,3.344391,2.228419,1.115972,0.829530
0.290000,3.337792,2.222178,1.115615,0.829411
0.291000,3.330981,2.215652,1.115329,0.829291
0.292000,3.324003,2.208864,1.115139,0.829174
0.293000,3.316905,2.201836,1.115069,0.829061
0.294000,3.309732,2.194592,1.115139,0.828958
0.295000,3.302528,2.187159,1.115369,0.828866
0.296000,3.295340,2.179563,1.115777,0.828789
0.297000,3.288207,2.171831,1.116376,0.828730
0.298000,3.281169,2.163991,1.117177,0.828691
0.299000,3.274265,2.156073,1.118192,0.828674
0.300000,3.267531,2.148103,1.119428,0.828682
0.301000,3.260996,2.140109,1.120887,0.828717
0.302000,3.254688,2.132119,1.122569,0.828779
0.303000,3.248629,2.124155,1.124474,0.828869
0.304000,3.242843,2.116246,1.126597,0.828991
0.305000,3.237340,2.108412,1.128928,0.829142
0.306000,3.232132,2.100675,1.131457,0.829323
0.307000,3.227223,2.093053,1.134170,0.829535
0.308000,3.222613,2.085564,1.137048,0.829775
0.309000,3.218295,2.078221,1.140074,0.830044
0.310000,3.214259,2.071033,1.143225,0.830339
0.311000,3.210486,2.064011,1.146475,0.830658
0.312000,3.206956,2.057158,1.149799,0.831000
0.313000,3.203643,2.050475,1.153168,0.831360
0.314000,3.200512,2.043960,1.156553,0.831735
0.315000,3.197531,2.037609,1.159922,0.832122
0.316000,3.194659,2.031412,1.163247,0.832516
0.317000,3.191855,2.025357,1.166497,0.832914
0.318000,3.189074,2.019432,1.169642,0.833310
0.319000,3.186271,2.013617,1.172653,0.833700
0.320000,3.183400,2.007894,1.175506,0.834079
0.321000,3.180415,2.002241,1.178174,0.834442
0.322000,3.177272,1.996635,1.180637,0.834784
0.323000,3.173929,1.991053,1.182877,0.835102
0.324000,3.170348,1.985470,1.184879,0.835389
0.325000,3.166492,1.979860,1.186631,0.835643
0.326000,3.162330,1.974201,1.188129,0.835860
0.327000,3.157836,1.968469,1.189368,0.836036
0.328000,3.152989,1.962641,1.190348,0.836171
0.329000,3.147772,1.956697,1.191075,0.836260
0.330000,3.142178,1.950619,1.191559,0.836303
0.331000,3.136198,1.944389,1.191809,0.836299
0.332000,3.129836,1.937995,1.191841,0.836248
0.333000,3.123098,1.931424,1.191674,0.836150
0.334000,3.115995,1.924668,1.191327,0.836007
0.335000,3.108541,1.917719,1.190822,0.835818
0.336000,3.100760,1.910575,1.190185,0.835588
0.337000,3.092675,1.903236,1.189439,0.835318
0.338000,3.084312,1.895702,1.188610,0.835011
0.339000,3.075703,1.887978,1.187725,0.834671
0.340000,3.066879,1.880068,1.186811,0.834300
0.341000,3.057877,1.871985,1.185892,0.833904
0.342000,3.048732,1.863736,1.184996,0.833486
0.343000,3.039482,1.855334,1.184147,0.833050
0.344000,3.030163,1.846794,1.183369,0.832602
0.345000,3.020816,1.838132,1.182684,0.832145
0.346000,3.011478,1.829364,1.182114,0.831684
0.347000,3.002184,1.820508,1.181676,0.831225
0.348000,2.992970,1.811581,1.181389,0.830771
0.349000,2.983874,1.802605,1.181269,0.830327
0.350000,2.974926,1.793599,1.181326,0.829899
