Radius,Qext,Qsca,Qabs,Gsca
0.040000,0.084569,0.004693,0.079876,0.027404
0.041000,0.087322,0.005180,0.082142,0.028785
0.042000,0.090131,0.005704,0.084426,0.030199
0.043000,0.092996,0.006267,0.086730,0.031648
0.044000,0.095922,0.006870,0.089052,0.033130
0.045000,0.098909,0.007515,0.091393,0.034646
0.046000,0.101960,0.008205,0.093755,0.036196
0.047000,0.105076,0.008941,0.096135,0.037780
0.048000,0.108261,0.009725,0.098536,0.039398
0.049000,0.111516,0.010558,0.100957,0.041051
0.050000,0.114843,0.011444,0.103399,0.042738
0.051000,0.118244,0.012384,0.105860,0.044459
0.052000,0.121723,0.013380,0.108343,0.046215
0.053000,0.125280,0.014434,0.110846,0.048005
0.054000,0.128919,0.015548,0.113370,0.049830
0.055000,0.132641,0.016725,0.115916,0.051690
0.056000,0.136448,0.017966,0.118482,0.053584
0.057000,0.140343,0.019274,0.121069,0.055514
0.058000,0.144328,0.020650,0.123678,0.057480
0.059000,0.148405,0.022097,0.126308,0.059481
0.060000,0.152576,0.023617,0.128958,0.061518
0.061000,0.156843,0.025213,0.131630,0.063591
0.062000,0.161209,0.026885,0.134324,0.065700
0.063000,0.165675,0.028637,0.137038,0.067845
0.064000,0.170244,0.030471,0.139773,0.070027
0.065000,0.174917,0.032388,0.142529,0.072247
0.066000,0.179696,0.034390,0.145306,0.074503
0.067000,0.184584,0.036481,0.148103,0.076797
0.068000,0.189582,0.038661,0.150921,0.079129
0.069000,0.194693,0.040934,0.153759,0.081499
0.070000,0.199917,0.043299,0.156617,0.083908
0.071000,0.205256,0.045761,0.159495,0.086356
0.072000,0.210713,0.048320,0.162393,0.088843
0.073000,0.216289,0.050979,0.165310,0.091370
0.074000,0.221984,0.053739,0.168246,0.093937
0.075000,0.227802,0.056602,0.171200,0.096545
0.076000,0.233742,0.059569,0.174173,0.099193
0.077000,0.239807,0.062643,0.177164,0.101884
0.078000,0.245997,0.065824,0.180173,0.104617
0.079000,0.252313,0.069114,0.183199,0.107392
0.080000,0.258757,0.072515,0.186243,0.110210
0.081000,0.265330,0.076027,0.189302,0.113072
0.082000,0.272031,0.079653,0.192378,0.115979
0.083000,0.278862,0.083392,0.195470,0.118930
0.084000,0.285823,0.087246,0.198577,0.121927
0.085000,0.292915,0.091217,0.201698,0.124970
0.086000,0.300138,0.095303,0.204835,0.128060
0.087000,0.307492,0.099507,0.207985,0.131197
0.088000,0.314977,0.103828,0.211148,0.134383
0.089000,0.322593,0.108268,0.214325,0.137618
0.090000,0.330340,0.112826,0.217514,0.140902
0.091000,0.338218,0.117502,0.220715,0.144237
0.092000,0.346226,0.122297,0.223928,0.147623
0.093000,0.354363,0.127210,0.227153,0.151061
0.094000,0.362629,0.132241,0.230388,0.154551
0.095000,0.371023,0.137390,0.233633,0.158096
0.096000,0.379544,0.142656,0.236888,0.161695
0.097000,0.388191,0.148038,0.240153,0.165348
0.098000,0.396963,0.153536,0.243427,0.169059
0.099000,0.405858,0.159149,0.246710,0.172826
0.100000,0.414876,0.164874,0.250001,0.176651
